"","genre","freqRecord","freqDataSource"
"1","text",53633845,964
"2","Text",28652170,514
"3","article",24809127,491
"4","info:eu-repo/semantics/article",14670974,2471
"5","publication en série imprimée",12547627,6
"6","texte",12500048,7
"7","printed serial",12415593,5
"8","Article",11453272,1457
"9","Dataset",10696039,410
"10","Image",9390176,666
"11","info:eu-repo/semantics/publishedVersion",9096670,2143
"12","TEXT",6529399,11
"13","PeerReviewed",6040184,468
"14","image",5417832,211
"15","Journal article",5333843,186
"16","NonPeerReviewed",4652924,546
"17","Journal Article",4228071,388
"18","image fixe",4141074,9
"19","Published",3756614,5
"20","still image",3450108,77
"21","info:eu-repo/semantics/conferenceObject",3348209,378
"22","monographie imprimée",3160965,8
"23","printed monograph",2969007,5
"24","Thesis",2758605,1013
"25","czasopismo",2745182,56
"26","Departmental Bulletin Paper",2409213,406
"27","Other",2271331,1149
"28","Journal articles",2210884,112
"29","book",1863850,416
"30","Book",1830454,1400
"31","info:eu-repo/semantics/bookPart",1684696,366
"32","preprint",1500781,97
"33","text (article)",1440100,2
"34","physical object",1405317,7
"35","object",1397500,4
"36","monnaie",1373422,2
"37","Report",1325569,393
"38","info:eu-repo/semantics/other",1302336,381
"39","Collection",1296977,100
"40","Conference papers",1255871,113
"41","Peer-reviewed Article",1205550,884
"42","publishedVersion",1087890,52
"43","journal article",1057111,38
"44","Dataset/UNITE Species Hypothesis",1038830,1
"45","Issue",1037876,20
"46","info:eu-repo/semantics/doctoralThesis",1026506,387
"47","periodical",1002898,49
"48","photograph",942972,62
"49","audio",937848,31
"50","Números",936793,3
"51","Newspaper",932206,92
"52","學位論文 ; thesis",931109,1
"53","thesis",929459,142
"54","Photograph",914575,81
"55","contributionToPeriodical",870077,72
"56","photographie",863932,4
"57","StillImage",843751,80
"58","Conference Paper",783963,253
"59","Master thesis",783455,187
"60","Electronic Thesis or Dissertation",777569,30
"61","Description (Metadata) only",750149,4
"62","info:eu-repo/semantics/book",704936,422
"63","Still Image",691420,88
"64","Peer reviewed",658688,91
"65","Others",650129,398
"66","Thesis or Dissertation",637075,318
"67","info:eu-repo/semantics/bachelorThesis",621273,193
"68","DataSheet",604154,1
"69","video",574815,83
"70","compterendu",560565,3
"71","Conference or Workshop Item",519338,307
"72","info:eu-repo/semantics/masterThesis",508874,284
"73","IT",501864,6
"74","estampe",500153,2
"75","engraving",500146,5
"76","Monograph",498417,301
"77","conferenceObject",490950,154
"78","dataset",469608,66
"79","期刊论文",460845,67
"80","Article/Letter to editor",460618,3
"81","map",432695,48
"82","Conference",431651,35
"83","Book Section",423180,292
"84","collection",415998,44
"85","carte",401131,3
"86","Articles",393993,48
"87","oceanographic cruise",384560,1
"88","Article / Letter to editor",375487,7
"89","info:eu-repo/semantics/report",372413,298
"90","sound",362388,75
"91","Artículo",359378,76
"92","VHS-ProgrammAdult Education Colleges-Programme",355208,1
"93","doc-type:article",345734,89
"94","info:eu-repo/semantics/Article",325593,8
"95","manuscript",322017,41
"96","Conference paper",318704,139
"97","Dissertation",313024,160
"98","manuscrit",307383,5
"99","imagen",302676,5
"100","Book sections",297848,105
"101","masterThesis",297036,139
"102","tanulmány(ok)",287264,2
"103","images",282926,7
"104","bachelorThesis",277012,83
"105","Artículo revisado por pares",274958,203
"106","Publication",273508,27
"107","Theses",272689,126
"108","Still image",272208,60
"109","document sonore",268826,4
"110","Figure",256311,7
"111","post",245006,2
"112","Article / Letter to the editor",239533,7
"113","Book Chapter",238479,150
"114","info:eu-repo/semantics/conferenceItem",238211,13
"115","Presentation",237601,629
"116","Online-Ressource",236503,24
"117","Student thesis",230871,42
"118","Working paper",229998,150
"119","External research report",227214,24
"120","Cosecha OAI",226072,1
"121","Book chapter",225976,487
"122","Research report",223986,118
"123","metadata",219347,2
"124","Photographs",219070,61
"125","xml",216917,3
"126","item",214870,3
"127","info:eu-repo/semantics/conferencePaper",213187,55
"128","Sound",209720,140
"129","Journal",205937,151
"130","report",204080,246
"131","conference_paper",203887,6
"132","U – Thesis",202131,3
"133","Atlas Map",199610,2
"134","document cartographique",198294,4
"135","cartographic resource",198086,3
"136","drawing",196832,25
"137","info:eu-repo/semantics/preprint",196684,193
"138","Doctoral thesis",196194,134
"139","dessin",194415,3
